Entry Time,Exit Time,Action,Entry Price,Stop Loss,Take Profit 1,Take Profit 2,Exit Price,Exit Reason,Net PnL ($),Equity
437,440,BUY,4640.9,4640.9,4643.146999999999,4645.393999999998,4645.393999999998,TP2 (Take Profit),144.83655985758648,10144.836559857586
545,559,SELL,4623.99,4623.99,4613.0755714285715,4602.161142857143,4602.161142857143,TP2 (Take Profit),148.94085385008046,10293.777413707667
623,626,BUY,4589.63,4589.63,4591.377428571428,4593.124857142856,4593.124857142856,TP2 (Take Profit),143.4337373283167,10437.211151035983
657,661,BUY,4618.09,4618.09,4621.302028571429,4624.514057142858,4618.09,SL (Stop Loss),46.405628174451955,10483.616779210435
729,734,BUY,4605.99,4605.99,4610.6015,4615.213,4605.99,SL (Stop Loss),47.5029870974737,10531.11976630791
787,791,SELL,4588.86,4593.985857142858,4583.734142857142,4578.608285714284,4593.985857142858,SL (Stop Loss),-104.47618795462708,10426.643578353282
809,817,BUY,4584.765,4584.765,4591.175214285715,4597.5854285714295,4584.765,SL (Stop Loss),48.21192989982514,10474.855508253107
